Cave	RefPassage	RefStation	Passage	Station	Start	End	Depth	Length	Azimuth	Inclination	LRUDs	Left	Right	Up	Down	ProfileX	ProfileY	Profile	Instrument	Direction	Weight	Loop	Colour	Level	Date	Surveyor	Title	Info	Material	Tasks	Comment	RefCave	RefX	RefY	RefZ	X	Y	Z	State
1323/42	0	0	0	0	0	0	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0	Loferer Schacht						0.00	0.00	0.00	0.00	0.00	0.00	
1323/42	0	0	1	1	0	0	0.00	6.90	105	-45	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							0.00	0.00	0.00	4.71	-1.26	-4.88	
1323/42	1	1	1	2	0	0	0.00	10.90	171	-47	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							4.71	-1.26	-4.88	5.88	-8.61	-12.85	
1323/42	1	2	1	3	0	0	0.00	4.40	272	13	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0	P43						5.88	-8.61	-12.85	1.59	-8.46	-11.86	
1323/42	1	3	1	4	0	0	0.00	43.20	45	-83	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							1.59	-8.46	-11.86	5.31	-4.73	-54.74	
1323/42	1	4	1	5	0	0	0.00	10.40	70	47	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							5.31	-4.73	-54.74	11.98	-2.31	-47.13	
1323/42	1	5	1	6	0	0	0.00	5.20	30	29	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							11.98	-2.31	-47.13	14.25	1.63	-44.61	
1323/42	1	6	1	7	0	0	0.00	3.20	128	-31	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							14.25	1.63	-44.61	16.41	-0.06	-46.26	
1323/42	1	7	1	8	0	0	0.00	1.50	90	-20	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0	Y-Schacht, P18						16.41	-0.06	-46.26	17.82	-0.06	-46.77	
1323/42	1	8	1	9	0	0	0.00	18.50	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							17.82	-0.06	-46.77	17.82	-0.06	-65.27	
1323/42	1	9	1	10	0	0	0.00	6.20	10	28	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							17.82	-0.06	-65.27	18.77	5.33	-62.36	
1323/42	1	10	1	11	0	0	0.00	6.40	336	30	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							18.77	5.33	-62.36	16.52	10.40	-59.16	
1323/42	1	11	1	12	0	0	0.00	4.50	287	-18	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							16.52	10.40	-59.16	12.43	11.65	-60.55	
1323/42	1	12	1	13	0	0	0.00	4.20	339	-26	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0	Engstelle, P11						12.43	11.65	-60.55	11.07	15.17	-62.39	
1323/42	1	13	1	14	0	0	0.00	11.20	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0							11.07	15.17	-62.39	11.07	15.17	-73.59	
1323/42	1	14	1	15	0	0	0.00	5.90	55	-30	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/27/1990	0	P16						11.07	15.17	-73.59	15.26	18.10	-76.54	
1323/42	1	15	1	16	0	0	0.00	16.15	82	-78	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/28/1990	0							15.26	18.10	-76.54	18.59	18.57	-92.34	
1323/42	1	16	1	17	0	0	0.00	9.00	27	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/28/1990	0	P14 (P22)						18.59	18.57	-92.34	22.67	26.59	-92.34	
1323/42	1	17	1	18	0	0	0.00	14.70	15	-72	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/28/1990	0							22.67	26.59	-92.34	23.85	30.98	-106.32	
1323/42	1	18	1	19	0	0	0.00	5.50	120	24	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/28/1990	0	P57 (P190)						23.85	30.98	-106.32	28.20	28.47	-104.08	
1323/42	1	19	1	20	0	0	0.00	20.00	33	-75	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	Loferer Schacht						28.20	28.47	-104.08	31.02	32.81	-123.40	
1323/42	1	20	1	21	0	0	0.00	16.50	355	-78	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							31.02	32.81	-123.40	30.72	36.22	-139.54	
1323/42	1	21	1	22	0	0	0.00	14.90	20	-60	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							30.72	36.22	-139.54	33.27	43.23	-152.45	
1323/42	1	22	1	23	0	0	0.00	11.50	325	-51	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P40						33.27	43.23	-152.45	29.12	49.15	-161.38	
1323/42	1	23	1	24	0	0	0.00	41.00	325	-75	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							29.12	49.15	-161.38	23.03	57.85	-200.99	
1323/42	1	24	1	25	0	0	0.00	4.00	68	-10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P56						23.03	57.85	-200.99	26.68	59.32	-201.68	
1323/42	1	25	1	26	0	0	0.00	30.70	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							26.68	59.32	-201.68	26.68	59.32	-232.38	
1323/42	1	26	1	27	0	0	0.00	1.00	105	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							26.68	59.32	-232.38	27.65	59.06	-232.38	
1323/42	1	27	1	28	0	0	0.00	25.70	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							27.65	59.06	-232.38	27.65	59.06	-258.08	
1323/42	1	28	1	29	0	0	0.00	4.60	55	-19	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P34						27.65	59.06	-258.08	31.21	61.56	-259.58	
1323/42	1	29	1	30	0	0	0.00	34.00	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							31.21	61.56	-259.58	31.21	61.56	-293.58	
1323/42	1	30	1	31	0	0	0.00	8.90	38	-22	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							31.21	61.56	-293.58	36.29	68.06	-296.91	
1323/42	1	31	1	32	0	0	0.00	11.00	310	-29	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	Biwak 1						36.29	68.06	-296.91	28.92	74.24	-302.25	
